size,density,bfs_cost,bfs_time,ucs_cost,ucs_time,greedy_cost,greedy_time,astar_cost,astar_time,mcts_cost,mcts_time,best_algorithm
10,0.31934368158827,63,4.291534423828125e-05,63,6.794929504394531e-05,63,2.288818359375e-05,63,6.127357482910156e-05,6871,0.20465826988220215,greedy
20,0.33926322698730627,291,0.0002009868621826172,261,0.00030493736267089844,309,9.703636169433594e-05,261,0.00032806396484375,63140,4.720208168029785,ucs
20,0.25349083929265676,190,0.00022292137145996094,158,0.0003249645233154297,214,6.4849853515625e-05,158,0.00034689903259277344,26104,1.4905009269714355,ucs
10,0.2776508077565928,63,5.1975250244140625e-05,58,6.508827209472656e-05,120,3.5762786865234375e-05,58,6.079673767089844e-05,1816,0.16770386695861816,astar
10,0.2674068237368719,86,5.412101745605469e-05,86,7.414817810058594e-05,109,2.6941299438476562e-05,86,6.723403930664062e-05,2477,0.43770503997802734,bfs
10,0.2189463602487554,82,6.413459777832031e-05,54,9.417533874511719e-05,78,2.09808349609375e-05,54,9.512901306152344e-05,4594,0.25881004333496094,ucs
20,0.27304634538204514,144,0.0002219676971435547,109,0.00029277801513671875,237,7.104873657226562e-05,109,0.00028014183044433594,10872,1.3813540935516357,astar
10,0.2924342483228359,112,5.91278076171875e-05,103,7.796287536621094e-05,118,5.507469177246094e-05,103,8.606910705566406e-05,14935,0.6374690532684326,ucs
10,0.26095637845013664,85,3.814697265625e-05,60,5.91278076171875e-05,65,2.09808349609375e-05,60,5.1021575927734375e-05,4314,0.21518683433532715,astar
10,0.26214002693602434,90,4.8160552978515625e-05,76,7.796287536621094e-05,87,2.6226043701171875e-05,76,7.987022399902344e-05,5367,0.5067629814147949,ucs
20,0.21050289137060202,169,0.0002429485321044922,128,0.0003809928894042969,205,6.079673767089844e-05,128,0.00040602684020996094,27050,1.2241928577423096,ucs
10,0.2182531948538305,73,6.29425048828125e-05,51,9.512901306152344e-05,61,2.4080276489257812e-05,51,9.584426879882812e-05,2387,0.3565230369567871,ucs
20,0.4120504557925768,195,0.00011968612670898438,154,0.0001690387725830078,172,4.76837158203125e-05,154,0.00017786026000976562,47041,1.5454511642456055,ucs
10,0.23916784793066276,94,6.198883056640625e-05,73,8.606910705566406e-05,73,2.0265579223632812e-05,73,7.915496826171875e-05,4678,0.14438986778259277,greedy
10,0.21548322233519673,97,6.604194641113281e-05,74,0.00010085105895996094,85,2.8371810913085938e-05,74,9.584426879882812e-05,5285,0.3947031497955322,astar
10,0.2522729530008994,63,5.793571472167969e-05,54,7.987022399902344e-05,100,4.9114227294921875e-05,54,7.43865966796875e-05,1993,0.32997608184814453,astar
10,0.27720326899361547,93,6.318092346191406e-05,63,9.608268737792969e-05,85,1.7881393432617188e-05,63,9.083747863769531e-05,7956,0.26924800872802734,astar
10,0.2533047725041675,75,4.506111145019531e-05,75,6.389617919921875e-05,120,2.3603439331054688e-05,75,5.602836608886719e-05,4083,0.24621915817260742,bfs
10,0.3180710887778069,93,4.887580871582031e-05,52,6.794929504394531e-05,90,2.4080276489257812e-05,52,5.984306335449219e-05,5480,0.16183900833129883,astar
10,0.2054631248868031,59,5.984306335449219e-05,52,8.082389831542969e-05,87,2.09808349609375e-05,52,5.984306335449219e-05,552,0.15243816375732422,astar
10,0.40051563364053255,99,4.601478576660156e-05,69,5.2928924560546875e-05,70,2.1219253540039062e-05,69,5.125999450683594e-05,2613,0.12234807014465332,astar
20,0.22372982122056898,157,0.00022101402282714844,105,0.00032591819763183594,123,4.792213439941406e-05,105,0.00031304359436035156,73348,1.4018948078155518,astar
10,0.27962145331883337,85,6.031990051269531e-05,58,7.891654968261719e-05,71,2.09808349609375e-05,58,8.0108642578125e-05,2303,0.3520660400390625,ucs
10,0.2294588402522702,85,5.1975250244140625e-05,52,8.20159912109375e-05,81,2.09808349609375e-05,52,8.296966552734375e-05,579,0.14768314361572266,ucs
20,0.2501324268018474,184,0.00022721290588378906,107,0.0003559589385986328,186,5.2928924560546875e-05,107,0.0003490447998046875,6760,1.7300596237182617,astar
10,0.23757454670137618,56,5.817413330078125e-05,47,8.702278137207031e-05,70,2.47955322265625e-05,47,7.987022399902344e-05,2813,0.15925121307373047,astar
20,0.2492719739272582,180,0.0002448558807373047,103,0.0003390312194824219,303,0.00011968612670898438,103,0.00030803680419921875,16300,1.5515129566192627,astar
10,0.2784868497387368,89,4.8160552978515625e-05,63,6.67572021484375e-05,65,2.002716064453125e-05,63,6.198883056640625e-05,2300,0.15425729751586914,astar
20,0.2927393358871549,174,0.00021409988403320312,143,0.00032210350036621094,191,6.29425048828125e-05,143,0.00033211708068847656,14644,2.2396011352539062,ucs
10,0.23468472897607617,78,6.103515625e-05,49,9.012222290039062e-05,79,2.3126602172851562e-05,49,8.606910705566406e-05,4017,0.2312939167022705,astar
20,0.23916518393573205,183,0.00023603439331054688,146,0.00036406517028808594,236,6.604194641113281e-05,146,0.0003910064697265625,42630,2.34517502784729,ucs
10,0.28688009981494117,86,5.817413330078125e-05,64,8.511543273925781e-05,101,3.218650817871094e-05,64,8.20159912109375e-05,3665,0.4969799518585205,astar
10,0.20342203210839735,102,5.91278076171875e-05,56,7.605552673339844e-05,67,2.2172927856445312e-05,56,6.985664367675781e-05,1328,0.1450183391571045,astar
20,0.4032696144639673,304,0.00017189979553222656,276,0.00024080276489257812,311,0.00014495849609375,276,0.0002498626708984375,35404,4.33177375793457,ucs
10,0.2229145855359927,100,5.888938903808594e-05,86,8.177757263183594e-05,89,3.504753112792969e-05,86,8.988380432128906e-05,2427,0.22008490562438965,ucs
10,0.31469866517901524,83,5.3882598876953125e-05,71,7.486343383789062e-05,79,2.288818359375e-05,71,6.67572021484375e-05,17042,0.25582098960876465,astar
20,0.33258602798509684,164,0.0001900196075439453,144,0.00032401084899902344,200,6.198883056640625e-05,144,0.0002701282501220703,14374,2.125823974609375,astar
10,0.43986845840091454,75,4.887580871582031e-05,64,5.7220458984375e-05,78,2.5987625122070312e-05,64,5.0067901611328125e-05,562,0.3726232051849365,astar
20,0.3231230454418268,234,0.0002028942108154297,196,0.00030803680419921875,264,0.00010967254638671875,196,0.000308990478515625,6105,2.149165153503418,ucs
20,0.2076861772728668,166,0.000247955322265625,119,0.0003857612609863281,180,6.198883056640625e-05,119,0.0004248619079589844,5195,1.1095831394195557,ucs
20,0.21305203254534558,159,0.00024199485778808594,100,0.0003509521484375,201,5.888938903808594e-05,100,0.0003046989440917969,16344,1.2749059200286865,astar
10,0.263974933922785,77,5.078315734863281e-05,74,7.891654968261719e-05,85,3.0279159545898438e-05,74,7.700920104980469e-05,3159,0.37270212173461914,astar
